text,label
Scientists discover new exoplanet with signs of water,real
Doctors hate her! This one weird trick cures everything,fake
Government announces new infrastructure investment plan,real
"Secret alien base found under the ocean, officials deny it",fake
Stock markets rally after positive economic data release,real
You won't believe what celebrities are hiding from you,fake
Local university receives grant for renewable energy research,real
"Miracle pill melts fat overnight, doctors are furious",fake
New public transport line opens to reduce city congestion,real
"Breaking: moon landing was staged, new evidence revealed",fake
